work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid-level,Full-time,Data Scientist,70000,Euro,79833,Germany,0,Germany,Large
2020,Senior-level,Full-time,Machine Learning Scientist,260000,US Dollar,260000,Japan,0,Japan,Small
2020,Senior-level,Full-time,Big Data Engineer,85000,British Pound,109024,United Kingdom,50,United Kingdom,Medium
2020,Mid-level,Full-time,Product Data Analyst,20000,US Dollar,20000,Honduras,0,Honduras,Small
2020,Senior-level,Full-time,Machine Learning Engineer,150000,US Dollar,150000,United States,50,United States,Large
2020,Entry-level,Full-time,Data Analyst,72000,US Dollar,72000,United States,100,United States,Large
2020,Senior-level,Full-time,Lead Data Scientist,190000,US Dollar,190000,United States,100,United States,Small
2020,Mid-level,Full-time,Business Data Analyst,135000,US Dollar,135000,United States,100,United States,Large
2020,Senior-level,Full-time,Lead Data Engineer,125000,US Dollar,125000,New Zealand,50,New Zealand,Small
2020,Entry-level,Full-time,Data Scientist,45000,Euro,51321,France,0,France,Small
2020,Mid-level,Full-time,Data Scientist,3000000,Indian Rupee,40481,India,0,India,Large
2020,Entry-level,Full-time,Data Scientist,35000,Euro,39916,France,0,France,Medium
2020,Mid-level,Full-time,Lead Data Analyst,87000,US Dollar,87000,United States,100,United States,Large
2020,Mid-level,Full-time,Data Analyst,85000,US Dollar,85000,United States,100,United States,Large
2020,Mid-level,Full-time,Data Analyst,8000,US Dollar,8000,Pakistan,50,Pakistan,Large
2020,Entry-level,Full-time,Data Engineer,4450000,Japanese Yen,41689,Japan,100,Japan,Small
2020,Senior-level,Full-time,Big Data Engineer,100000,Euro,114047,Poland,100,United Kingdom,Small
2020,Entry-level,Full-time,Data Science Consultant,423000,Indian Rupee,5707,India,50,India,Medium
2020,Mid-level,Full-time,Lead Data Engineer,56000,US Dollar,56000,Portugal,100,United States,Medium
2020,Mid-level,Full-time,Machine Learning Engineer,299000,Chinese Yuan,43331,China,0,China,Medium
2020,Mid-level,Full-time,Product Data Analyst,450000,Indian Rupee,6072,India,100,India,Large
2020,Senior-level,Full-time,Data Engineer,42000,Euro,47899,Greece,50,Greece,Large
